Hs,Ht,Hd,Hr,Cv,FF,FD,SD,SA,FSR,RT,C_E,P_E,TCE,Workload,Time,tc,fn
0.003533,0.002459083,0.003876023,0.002047653,0.092059,13,124.5670935,72.65437,17.08253984,1.714516188,121,0.419301,0.266602,1.098612289,1,3,1.098612289,1.098612289
0.003767,0.00212965,0.00234561,0.002047653,0.072275,10,104.678932,55.8762834,23.9876456,1.873405417,122,0.449026,0.287269,1.791759469,1,6,1.791759469,1.791759469
0.0038,0.003092365,0.002046723,0.003876023,0.087331,15,128.9836743,93.8792356,29.567934,1.373931876,97,0.458303,0.304379,2.197224577,1,9,2.197224577,2.197224577
0.004,0.002459083,0.002459083,0.00234561,0.092059,13,124.5670935,187.0923654,17.08253984,0.665805327,122,0.406066,0.254346,2.48490665,1,12,2.48490665,2.48490665
0.0044,0.00212965,0.00212965,0.002046723,0.036578,10,104.678932,76.19087488,23.9876456,1.373903793,122,0.4445,0.287269,2.708050201,1,15,2.708050201,2.708050201
0.0044,0.003092365,0.003092365,0.003876023,0.054982,15,128.9836743,65.98653,29.567934,1.954697031,122,0.4445,0.287269,2.890371758,1,18,2.890371758,2.890371758
0.004466667,0.004983903,0.002459083,0.00234561,0.092236,13,123.921344,83.67895432,21.45672789,1.480914108,122,0.406066,0.266602,3.044522438,1,21,3.044522438,3.044522438
0.003466667,0.003679437,0.00212965,0.002046723,0.09558,10,103.5678934,55.4569876,15.6789032,1.867535506,142,0.458303,0.296694,3.17805383,1,24,3.17805383,3.17805383
0.004033333,0.00212965,0.003092365,0.002459083,0.141187,10,104.678932,55.8762834,23.9876456,1.873405417,122,0.409295,0.254346,3.295836866,1,27,3.295836866,3.295836866
0.004133333,0.00474398,0.004983903,0.00212965,0.142553,10,256.896542,80.45645893,23.986754,3.192988424,142,0.429199,0.304379,3.401197382,1,30,3.401197382,3.401197382
0.0037,0.005002378,0.005126655,0.004366667,0.145537,11,398.765923,83.76328,22.876938,4.760629276,132,0.405537,0.254346,3.496507561,1,33,3.496507561,3.496507561
0.004067,0.002046723,0.008568945,0.004666667,0.139659,10,106.8976534,57.89236374,24.98726543,1.846489701,112,0.451978,0.296234,3.583518938,1,36,3.583518938,3.583518938
0.003966667,0.003798462,0.00502387,0.0037,0.117063,11,156.764,92.456292,16.45632142,1.695547124,132,0.390679,0.296694,3.663561646,1,39,3.663561646,3.663561646
